"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"7/8/2022","CMA CGM AMERICA PAYROLL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Paycheck/Salary","No","No","$2124.1"
"7/7/2022","PANERA BREAD P","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($5.67)"
"7/7/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/6/2022","WAWA VIRGINIA BEACVA","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($30.12)"
"7/6/2022","US EFT PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($39.99)"
"7/6/2022","AMZN MKTP US","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($9.53)"
"7/5/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/5/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($12.02)"
"7/5/2022","MARKET","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.92)"
"7/5/2022","MCDONALDS","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($6.33)"
"7/5/2022","JPMORGAN CHASE EXT TRNSFR FUTURE AMOUNT TRAN ACHSD","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","$400"
"7/4/2022","AUTOMATIC STATEMENT CREDIT","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$8.68"
"7/3/2022","REG MACARTHUR NORFOLK VA","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($6.74)"
"7/3/2022","REG MACARTHUR NORFOLK VA","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($11.32)"
"7/3/2022","GREAT CLIPS AT MARK VIRGINIA BEACVA","Discover Credit Card - via Direct Web Access","DISCOVER","Hair & Nails","No","No","($22)"
"7/3/2022","WAWA VIRGINIA BEACVA","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($30.4)"
"7/2/2022","PALMS ASSOCIATES RENTAL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Rent","No","No","($1551.04)"
"7/2/2022","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($3.29)"
"7/2/2022","CAVA PEMBROKE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($13.24)"
"7/1/2022","LEMONADE I LEMONADE I","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($6.17)"
"7/1/2022","PANERA BREAD P","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($5.67)"
"7/1/2022","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($600)"
"7/1/2022","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($300)"
"6/30/2022","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$600"
"6/30/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($12.58)"
"6/30/2022","INTEREST PAID","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Interest Income","No","No","$17.67"
"6/30/2022","INTEREST PAID","Charles Schwab US","CHARLES SCHWAB CHECKING","Interest Income","No","No","$0"
"6/30/2022","ONLINE TRANSFER TO SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","($400)"
"6/30/2022","ZELLE PAYMENT FROM SARAN PADMAKAR","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$1305.42"
