"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"12/10/2023","TARGET FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($68.79)"
"12/10/2023","WALMART SC PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","$12.98"
"12/10/2023","PANERA BREAD K FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.8)"
"12/9/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($97.78)"
"12/9/2023","INDIAN VEGETARIAN RE FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($44.01)"
"12/9/2023","WALMART SC PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($160.78)"
"12/8/2023","7-ELEVEN 37930","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($39.38)"
"12/8/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($3)"
"12/8/2023","ESPN PLUS","Chase - via Direct Web API","CHASE FREEDOM","Subscriptions","No","No","($11.87)"
"12/7/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($26.42)"
"12/7/2023","STARBUCKS","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($10)"
"12/7/2023","AMZN MKTP US AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($41.67)"
"12/7/2023","AMAZON.COM AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($27.05)"
"12/7/2023","ATT UVERSE PAYMENT TX","American Express - Amex Account - via Direct Web Access","AMEX","Phone, Internet & Cable","No","No","($55.58)"
"12/7/2023","CRUNCH FIT CLUB FEES PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($18.48)"
"12/6/2023","SARAVANAA BHAVAN PLANO","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($25.17)"
"12/6/2023","AMAZON PRIME AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Subscriptions","No","No","($8.11)"
"12/6/2023","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($15.05)"
"12/5/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($5.24)"
"12/4/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($98.61)"
